基金代码,基金简称,类型,机构持有比例,个人持有比例,资产规模,原始摘要,小类
560280,广发中证工程机械主题,指数型,69.82%,30.18%,8.74 亿,截至2025-06-30，广发中证工程机械主题ETF 的基金机构持有0.69亿份，占总份额的69.82%，个人投资者持有0.30亿份，占总份额的30.18%,工程机械
515900,博时央企创新驱动ET,指数型,94.34%,2.01%,36.99 亿,截至2025-06-30，博时央企创新驱动ETF 的基金机构持有21.73亿份，占总份额的94.34%，个人投资者持有0.46亿份，占总份额的2.01%,创新
515150,富国中证国企一带一路,指数型,97.70%,2.30%,8.19 亿,截至2025-06-30，富国中证国企一带一路ETF 的基金机构持有5.35亿份，占总份额的97.70%，个人投资者持有0.13亿份，占总份额的2.30%,一带一路
516510,易方达中证云计算与大,指数型,50.61%,49.39%,17.44 亿,截至2025-06-30，易方达中证云计算与大数据主题ETF 的基金机构持有13.77亿份，占总份额的50.61%，个人投资者持有13.44亿份，占总份额的49.39%,云计算与大数据
510360,广发沪深300ETF,指数型,96.04%,3.96%,38.56 亿,截至2025-06-30，广发沪深300ETF 的基金机构持有42.35亿份，占总份额的96.04%，个人投资者持有1.75亿份，占总份额的3.96%,沪深300
513880,华安日经225ETF,指数型,53.57%,46.43%,19.93 亿,截至2025-06-30，华安日经225ETF 的基金机构持有5.71亿份，占总份额的53.57%，个人投资者持有4.95亿份，占总份额的46.43%,海外
513800,南方顶峰TOPIX(,指数型,57.55%,42.45%,15.95 亿,截至2025-06-30，南方顶峰TOPIX(ETF-QDII) 的基金机构持有2.86亿份，占总份额的57.55%，个人投资者持有2.11亿份，占总份额的42.45%,QDII
515190,中银证券中证500E,指数型,89.34%,10.66%,8.17 亿,截至2025-06-30，中银证券中证500ETF 的基金机构持有0.64亿份，占总份额的89.34%，个人投资者持有0.08亿份，占总份额的10.66%,中证500
513920,华安恒生港股通中国央,指数型,80.05%,19.95%,62.39 亿,截至2025-06-30，华安恒生港股通中国央企红利ETF 的基金机构持有16.88亿份，占总份额的80.05%，个人投资者持有4.21亿份，占总份额的19.95%,红利
513190,华夏中证港股通内地金,指数型,73.49%,19.92%,25.39 亿,截至2025-06-30，华夏中证港股通内地金融ETF 的基金机构持有8.36亿份，占总份额的73.49%，个人投资者持有2.26亿份，占总份额的19.92%,金融
159959,银华中证央企结构调整,指数型,97.30%,2.70%,28.98 亿,截至2025-06-30，银华中证央企结构调整ETF 的基金机构持有19.17亿份，占总份额的97.30%，个人投资者持有0.53亿份，占总份额的2.70%,国央企
588750,汇添富上证科创板芯片,指数型,79.27%,20.73%,53.00 亿,截至2025-06-30，汇添富上证科创板芯片ETF 的基金机构持有11.73亿份，占总份额的79.27%，个人投资者持有3.07亿份，占总份额的20.73%,芯片
513630,摩根标普港股通低波红,指数型,90.39%,9.61%,166.44 亿,截至2025-06-30，摩根标普港股通低波红利ETF 的基金机构持有70.28亿份，占总份额的90.39%，个人投资者持有7.47亿份，占总份额的9.61%,红利
513530,华泰柏瑞中证港股通高,指数型,37.10%,13.76%,36.85 亿,截至2025-06-30，华泰柏瑞中证港股通高股息投资ETF(QDII) 的基金机构持有6.21亿份，占总份额的37.10%，个人投资者持有2.30亿份，占总份额的13.76%,高股息
159680,招商中证1000增强,指数型,50.27%,49.73%,6.47 亿,截至2025-06-30，招商中证1000增强策略ETF 的基金机构持有1.63亿份，占总份额的50.27%，个人投资者持有1.61亿份，占总份额的49.73%,中证1000
159739,鹏华中证云计算与大数,指数型,59.03%,40.97%,2.83 亿,截至2025-06-30，鹏华中证云计算与大数据主题ETF 的基金机构持有2.58亿份，占总份额的59.03%，个人投资者持有1.79亿份，占总份额的40.97%,云计算与大数据
159997,天弘中证电子ETF,指数型,16.30%,13.28%,13.30 亿,截至2025-06-30，天弘中证电子ETF 的基金机构持有1.82亿份，占总份额的16.30%，个人投资者持有1.48亿份，占总份额的13.28%,电子
513910,华夏中证港股通央企红,指数型,59.39%,14.48%,49.92 亿,截至2025-06-30，华夏中证港股通央企红利ETF 的基金机构持有12.07亿份，占总份额的59.39%，个人投资者持有2.94亿份，占总份额的14.48%,红利
159375,国泰创业板50ETF,指数型,8.69%,2.53%,2.28 亿,截至2025-06-30，国泰创业板50ETF 的基金机构持有0.30亿份，占总份额的8.69%，个人投资者持有0.09亿份，占总份额的2.53%,创业板
159977,天弘创业板ETF,指数型,8.54%,6.25%,85.97 亿,截至2025-06-30，天弘创业板ETF 的基金机构持有3.43亿份，占总份额的8.54%，个人投资者持有2.51亿份，占总份额的6.25%,创业板
159370,工银瑞信创业板50E,指数型,96.62%,3.38%,2.82 亿,截至2025-06-30，工银瑞信创业板50ETF 的基金机构持有1.50亿份，占总份额的96.62%，个人投资者持有0.05亿份，占总份额的3.38%,创业板
515020,华夏中证银行ETF,指数型,14.70%,7.57%,9.38 亿,截至2025-06-30，华夏中证银行ETF 的基金机构持有0.39亿份，占总份额的14.70%，个人投资者持有0.20亿份，占总份额的7.57%,银行
513750,广发中证港股通非银E,指数型,82.43%,17.57%,269.11 亿,截至2025-06-30，广发中证港股通非银ETF 的基金机构持有25.31亿份，占总份额的82.43%，个人投资者持有5.39亿份，占总份额的17.57%,非银
159373,嘉实创业板50ETF,指数型,76.46%,23.54%,4.49 亿,截至2025-06-30，嘉实创业板50ETF 的基金机构持有2.80亿份，占总份额的76.46%，个人投资者持有0.86亿份，占总份额的23.54%,创业板
515210,国泰中证钢铁ETF,指数型,48.17%,25.25%,39.80 亿,截至2025-06-30，国泰中证钢铁ETF 的基金机构持有4.62亿份，占总份额的48.17%，个人投资者持有2.42亿份，占总份额的25.25%,钢铁
159335,融通中证诚通央企科技,指数型,83.14%,16.86%,2.42 亿,截至2025-06-30，融通中证诚通央企科技创新ETF 的基金机构持有2.12亿份，占总份额的83.14%，个人投资者持有0.43亿份，占总份额的16.86%,创新
560880,广发中证全指家用电器,指数型,95.55%,4.45%,6.41 亿,截至2025-06-30，广发中证全指家用电器ETF 的基金机构持有2.73亿份，占总份额的95.55%，个人投资者持有0.13亿份，占总份额的4.45%,家用电器
512950,华夏中证央企ETF,指数型,91.63%,2.22%,62.41 亿,截至2025-06-30，华夏中证央企ETF 的基金机构持有38.28亿份，占总份额的91.63%，个人投资者持有0.93亿份，占总份额的2.22%,国央企
159697,鹏华国证石油天然气E,指数型,73.29%,26.71%,2.07 亿,截至2025-06-30，鹏华国证石油天然气ETF 的基金机构持有1.14亿份，占总份额的73.29%，个人投资者持有0.42亿份，占总份额的26.71%,能源
159565,易方达中证汽车零部件,指数型,71.86%,28.14%,3.81 亿,截至2025-06-30，易方达中证汽车零部件主题ETF 的基金机构持有0.53亿份，占总份额的71.86%，个人投资者持有0.21亿份，占总份额的28.14%,汽车零部件
513170,鹏华恒生中国央企(Q,指数型,76.84%,23.16%,3.60 亿,截至2025-06-30，鹏华恒生中国央企(QDII) 的基金机构持有2.92亿份，占总份额的76.84%，个人投资者持有0.88亿份，占总份额的23.16%,国央企
510170,国联安上证商品ETF,指数型,63.32%,36.68%,3.22 亿,截至2025-06-30，国联安上证商品ETF 的基金机构持有1.07亿份，占总份额的63.32%，个人投资者持有0.62亿份，占总份额的36.68%,商品
512680,广发中证军工ETF,指数型,87.73%,12.27%,59.72 亿,截至2025-06-30，广发中证军工ETF 的基金机构持有42.45亿份，占总份额的87.73%，个人投资者持有5.94亿份，占总份额的12.27%,军工
159819,易方达中证人工智能主,指数型,52.33%,47.67%,217.96 亿,截至2025-06-30，易方达中证人工智能主题ETF 的基金机构持有89.54亿份，占总份额的52.33%，个人投资者持有81.55亿份，占总份额的47.67%,人工智能
512960,博时央企结构调整ET,指数型,94.20%,0.26%,56.64 亿,截至2025-06-30，博时央企结构调整ETF 的基金机构持有37.89亿份，占总份额的94.20%，个人投资者持有0.10亿份，占总份额的0.26%,国央企
159920,华夏恒生ETF(QD,指数型,43.03%,25.12%,137.89 亿,截至2025-06-30，华夏恒生ETF(QDII) 的基金机构持有46.30亿份，占总份额的43.03%，个人投资者持有27.03亿份，占总份额的25.12%,QDII
561930,招商沪深300ETF,指数型,81.08%,18.92%,2.98 亿,截至2025-06-30，招商沪深300ETF 的基金机构持有2.56亿份，占总份额的81.08%，个人投资者持有0.60亿份，占总份额的18.92%,沪深300
159572,易方达创业板中盘20,指数型,84.42%,15.58%,3.95 亿,截至2025-06-30，易方达创业板中盘200ETF 的基金机构持有5.33亿份，占总份额的84.42%，个人投资者持有0.98亿份，占总份额的15.58%,创业板
589980,汇添富上证科创板10,指数型,89.30%,10.70%,3.57 亿,截至2025-06-30，汇添富上证科创板100ETF 的基金机构持有2.79亿份，占总份额的89.30%，个人投资者持有0.33亿份，占总份额的10.70%,科创板
512700,南方中证银行ETF,指数型,44.10%,8.71%,14.12 亿,截至2025-06-30，南方中证银行ETF 的基金机构持有4.16亿份，占总份额的44.10%，个人投资者持有0.82亿份，占总份额的8.71%,银行
159996,国泰中证全指家电ET,指数型,67.81%,21.89%,14.51 亿,截至2025-06-30，国泰中证全指家电ETF 的基金机构持有6.20亿份，占总份额的67.81%，个人投资者持有2.00亿份，占总份额的21.89%,家用电器
159570,汇添富国证港股通创新,指数型,80.04%,19.96%,214.88 亿,截至2025-06-30，汇添富国证港股通创新药ETF 的基金机构持有41.05亿份，占总份额的80.04%，个人投资者持有10.24亿份，占总份额的19.96%,创新药
563300,华泰柏瑞中证2000,指数型,56.53%,41.86%,26.75 亿,截至2025-06-30，华泰柏瑞中证2000ETF 的基金机构持有9.70亿份，占总份额的56.53%，个人投资者持有7.18亿份，占总份额的41.86%,中证2000
512660,国泰中证军工ETF,指数型,61.01%,38.99%,106.52 亿,截至2025-06-30，国泰中证军工ETF 的基金机构持有83.17亿份，占总份额的61.01%，个人投资者持有53.16亿份，占总份额的38.99%,军工
588900,南方上证科创板100,指数型,22.11%,16.56%,6.64 亿,截至2025-06-30，南方上证科创板100ETF 的基金机构持有0.75亿份，占总份额的22.11%，个人投资者持有0.56亿份，占总份额的16.56%,科创板
159545,易方达恒生港股通高股,指数型,71.73%,28.27%,75.73 亿,截至2025-06-30，易方达恒生港股通高股息低波动ETF 的基金机构持有11.58亿份，占总份额的71.73%，个人投资者持有4.56亿份，占总份额的28.27%,高股息
588030,博时上证科创板100,指数型,44.89%,43.29%,67.45 亿,截至2025-06-30，博时上证科创板100ETF 的基金机构持有27.95亿份，占总份额的44.89%，个人投资者持有26.96亿份，占总份额的43.29%,科创板
588220,鹏华上证科创板100,指数型,70.95%,29.05%,90.15 亿,截至2025-06-30，鹏华上证科创板100ETF 的基金机构持有38.03亿份，占总份额的70.95%，个人投资者持有15.57亿份，占总份额的29.05%,科创板
515890,博时红利ETF,指数型,44.42%,34.34%,4.49 亿,截至2025-06-30，博时红利ETF 的基金机构持有1.91亿份，占总份额的44.42%，个人投资者持有1.48亿份，占总份额的34.34%,红利
159333,万家中证港股通央企红,指数型,50.90%,27.73%,5.60 亿,截至2025-06-30，万家中证港股通央企红利ETF 的基金机构持有2.21亿份，占总份额的50.90%，个人投资者持有1.21亿份，占总份额的27.73%,红利
159681,鹏华创业板50ETF,指数型,67.76%,32.24%,21.43 亿,截至2025-06-30，鹏华创业板50ETF 的基金机构持有10.19亿份，占总份额的67.76%，个人投资者持有4.85亿份，占总份额的32.24%,创业板
588210,易方达上证科创板10,指数型,69.95%,30.05%,4.55 亿,截至2025-06-30，易方达上证科创板100ETF 的基金机构持有2.51亿份，占总份额的69.95%，个人投资者持有1.08亿份，占总份额的30.05%,科创板
512200,南方中证房地产ETF,指数型,56.12%,29.31%,46.79 亿,截至2025-06-30，南方中证房地产ETF 的基金机构持有25.73亿份，占总份额的56.12%，个人投资者持有13.44亿份，占总份额的29.31%,房地产
588800,华夏上证科创板100,指数型,43.32%,39.15%,26.04 亿,截至2025-06-30，华夏上证科创板100ETF 的基金机构持有14.73亿份，占总份额的43.32%，个人投资者持有13.31亿份，占总份额的39.15%,科创板
159378,永赢国证通用航空产业,指数型,79.37%,20.63%,7.56 亿,截至2025-06-30，永赢国证通用航空产业ETF 的基金机构持有6.57亿份，占总份额的79.37%，个人投资者持有1.71亿份，占总份额的20.63%,航空航天
515100,景顺长城红利低波动1,指数型,76.25%,15.62%,57.70 亿,截至2025-06-30，景顺长城红利低波动100ETF 的基金机构持有28.76亿份，占总份额的76.25%，个人投资者持有5.89亿份，占总份额的15.62%,红利
515180,易方达中证红利ETF,指数型,77.88%,22.12%,118.05 亿,截至2025-06-30，易方达中证红利ETF 的基金机构持有47.00亿份，占总份额的77.88%，个人投资者持有13.35亿份，占总份额的22.12%,红利
588050,工银瑞信上证科创板5,指数型,58.56%,41.44%,113.84 亿,截至2025-06-30，工银瑞信上证科创板50成份ETF 的基金机构持有66.01亿份，占总份额的58.56%，个人投资者持有46.70亿份，占总份额的41.44%,科创板
517900,招商中证银行AH价格,指数型,71.99%,28.01%,11.03 亿,截至2025-06-30，招商中证银行AH价格优选ETF 的基金机构持有3.02亿份，占总份额的71.99%，个人投资者持有1.17亿份，占总份额的28.01%,银行
588080,易方达上证科创板50,指数型,77.52%,22.48%,705.97 亿,截至2025-06-30，易方达上证科创板50ETF 的基金机构持有472.35亿份，占总份额的77.52%，个人投资者持有136.97亿份，占总份额的22.48%,科创板
513950,富国恒生港股通高股息,指数型,82.56%,17.44%,32.55 亿,截至2025-06-30，富国恒生港股通高股息低波动ETF(QDII) 的基金机构持有12.31亿份，占总份额的82.56%，个人投资者持有2.60亿份，占总份额的17.44%,高股息
159568,博时港股通互联网ET,指数型,50.93%,49.07%,4.24 亿,截至2025-06-30，博时港股通互联网ETF 的基金机构持有0.96亿份，占总份额的50.93%，个人投资者持有0.92亿份，占总份额的49.07%,互联网
159981,建信能源化工期货ET,指数型,69.50%,30.50%,15.95 亿,截至2025-06-30，建信能源化工期货ETF 的基金机构持有3.01亿份，占总份额的69.50%，个人投资者持有1.32亿份，占总份额的30.50%,化工
159330,东财沪深300ETF,指数型,71.97%,28.03%,5.58 亿,截至2025-06-30，东财沪深300ETF 的基金机构持有8.35亿份，占总份额的71.97%，个人投资者持有3.25亿份，占总份额的28.03%,沪深300
515450,南方红利低波50ET,指数型,12.83%,10.51%,150.39 亿,截至2025-06-30，南方红利低波50ETF 的基金机构持有8.87亿份，占总份额的12.83%，个人投资者持有7.27亿份，占总份额的10.51%,红利
159235,大成中证全指自由现金,指数型,73.41%,26.59%,21.51 亿,截至2025-06-30，大成中证全指自由现金流ETF 的基金机构持有2.89亿份，占总份额的73.41%，个人投资者持有1.05亿份，占总份额的26.59%,自由现金流
563390,华泰柏瑞中证全指自由,指数型,50.65%,49.35%,6.71 亿,截至2025-06-30，华泰柏瑞中证全指自由现金流ETF 的基金机构持有1.25亿份，占总份额的50.65%，个人投资者持有1.21亿份，占总份额的49.35%,自由现金流
588720,中银上证科创板50E,指数型,86.21%,13.79%,2.23 亿,截至2025-06-30，中银上证科创板50ETF 的基金机构持有2.99亿份，占总份额的86.21%，个人投资者持有0.48亿份，占总份额的13.79%,科创板
589770,招商上证科创板综合E,指数型,69.49%,30.51%,3.39 亿,截至2025-06-30，招商上证科创板综合ETF 的基金机构持有4.92亿份，占总份额的69.49%，个人投资者持有2.16亿份，占总份额的30.51%,科创板
561550,华泰柏瑞中证500增,指数型,58.79%,41.21%,16.91 亿,截至2025-06-30，华泰柏瑞中证500增强策略ETF 的基金机构持有4.39亿份，占总份额的58.79%，个人投资者持有3.08亿份，占总份额的41.21%,中证500
159869,华夏中证动漫游戏ET,指数型,37.46%,22.82%,126.11 亿,截至2025-06-30，华夏中证动漫游戏ETF 的基金机构持有20.72亿份，占总份额的37.46%，个人投资者持有12.62亿份，占总份额的22.82%,动漫游戏
589800,易方达上证科创板综合,指数型,68.17%,31.83%,16.01 亿,截至2025-06-30，易方达上证科创板综合ETF 的基金机构持有16.88亿份，占总份额的68.17%，个人投资者持有7.88亿份，占总份额的31.83%,科创板
515290,天弘中证银行ETF,指数型,11.52%,3.11%,55.32 亿,截至2025-06-30，天弘中证银行ETF 的基金机构持有3.96亿份，占总份额的11.52%，个人投资者持有1.07亿份，占总份额的3.11%,银行
589880,建信上证科创板综合E,指数型,80.81%,19.19%,5.99 亿,截至2025-06-30，建信上证科创板综合ETF 的基金机构持有10.26亿份，占总份额的80.81%，个人投资者持有2.44亿份，占总份额的19.19%,科创板
159691,工银瑞信中证港股通高,指数型,92.85%,7.15%,84.35 亿,截至2025-06-30，工银瑞信中证港股通高股息精选ETF 的基金机构持有49.40亿份，占总份额的92.85%，个人投资者持有3.80亿份，占总份额的7.15%,高股息
516010,国泰中证动漫游戏ET,指数型,44.34%,22.15%,32.50 亿,截至2025-06-30，国泰中证动漫游戏ETF 的基金机构持有7.44亿份，占总份额的44.34%，个人投资者持有3.72亿份，占总份额的22.15%,动漫游戏
159726,华夏恒生港股通中国内,指数型,61.06%,16.57%,4.96 亿,截至2025-06-30，华夏恒生港股通中国内地企业高股息率ETF 的基金机构持有2.54亿份，占总份额的61.06%，个人投资者持有0.69亿份，占总份额的16.57%,高股息
589680,鹏华科创板综合ETF,指数型,74.63%,25.37%,14.95 亿,截至2025-06-30，鹏华科创板综合ETF 的基金机构持有16.49亿份，占总份额的74.63%，个人投资者持有5.61亿份，占总份额的25.37%,科创板
510380,国寿安保沪深300E,指数型,99.78%,0.22%,22.99 亿,截至2025-06-30，国寿安保沪深300ETF 的基金机构持有14.17亿份，占总份额的99.78%，个人投资者持有0.03亿份，占总份额的0.22%,沪深300
512820,汇添富中证银行ETF,指数型,72.29%,27.71%,8.96 亿,截至2025-06-30，汇添富中证银行ETF 的基金机构持有4.57亿份，占总份额的72.29%，个人投资者持有1.75亿份，占总份额的27.71%,银行
563760,中银中证全指自由现金,指数型,51.12%,48.88%,11.78 亿,截至2025-05-28，中银中证全指自由现金流ETF 的基金机构持有1.98亿份，占总份额的51.12%，个人投资者持有1.90亿份，占总份额的48.88%,自由现金流
159380,A500ETF东财,指数型,96.85%,3.15%,3.40 亿,截至2025-06-30，A500ETF东财 的基金机构持有8.36亿份，占总份额的96.85%，个人投资者持有0.27亿份，占总份额的3.15%,中证500
563350,华泰柏瑞中证A50E,指数型,58.36%,29.25%,3.47 亿,截至2025-06-30，华泰柏瑞中证A50ETF 的基金机构持有2.95亿份，占总份额的58.36%，个人投资者持有1.48亿份，占总份额的29.25%,中证A50
159586,南方中证全指计算机E,指数型,19.42%,10.50%,2.77 亿,截至2025-06-30，南方中证全指计算机ETF 的基金机构持有0.54亿份，占总份额的19.42%，个人投资者持有0.29亿份，占总份额的10.50%,计算机
159379,融通中证A500ET,指数型,94.10%,5.90%,2.64 亿,截至2025-06-30，融通中证A500ETF 的基金机构持有3.39亿份，占总份额的94.10%，个人投资者持有0.21亿份，占总份额的5.90%,中证500
512580,广发中证环保ETF,指数型,73.35%,26.65%,12.73 亿,截至2025-06-30，广发中证环保ETF 的基金机构持有9.25亿份，占总份额的73.35%，个人投资者持有3.36亿份，占总份额的26.65%,环保
515300,嘉实沪深300红利低,指数型,94.11%,5.89%,46.70 亿,截至2025-06-30，嘉实沪深300红利低波动ETF 的基金机构持有37.33亿份，占总份额的94.11%，个人投资者持有2.34亿份，占总份额的5.89%,红利
516110,国泰中证800汽车与,指数型,71.10%,20.74%,5.92 亿,截至2025-06-30，国泰中证800汽车与零部件ETF 的基金机构持有2.19亿份，占总份额的71.10%，个人投资者持有0.64亿份，占总份额的20.74%,汽车零部件
560750,申万菱信中证A500,指数型,91.02%,8.98%,2.95 亿,截至2025-06-30，申万菱信中证A500ETF 的基金机构持有0.91亿份，占总份额的91.02%，个人投资者持有0.09亿份，占总份额的8.98%,中证500
515330,天弘沪深300ETF,指数型,17.46%,1.44%,81.80 亿,截至2025-06-30，天弘沪深300ETF 的基金机构持有15.72亿份，占总份额的17.46%，个人投资者持有1.30亿份，占总份额的1.44%,沪深300
563080,易方达中证A50ET,指数型,92.36%,7.64%,19.95 亿,截至2025-06-30，易方达中证A50ETF 的基金机构持有25.11亿份，占总份额的92.36%，个人投资者持有2.08亿份，占总份额的7.64%,中证A50
562890,嘉实中证A50ETF,指数型,82.16%,17.84%,3.28 亿,截至2025-06-30，嘉实中证A50ETF 的基金机构持有2.95亿份，占总份额的82.16%，个人投资者持有0.64亿份，占总份额的17.84%,中证A50
159625,嘉实国证绿色电力ET,指数型,73.30%,26.70%,13.80 亿,截至2025-06-30，嘉实国证绿色电力ETF 的基金机构持有2.09亿份，占总份额的73.30%，个人投资者持有0.76亿份，占总份额的26.70%,电力
512080,中金中证A500ET,指数型,96.55%,3.45%,11.66 亿,截至2025-06-30，中金中证A500ETF 的基金机构持有14.10亿份，占总份额的96.55%，个人投资者持有0.50亿份，占总份额的3.45%,中证500
159593,平安中证A50ETF,指数型,92.25%,7.75%,55.97 亿,截至2025-06-30，平安中证A50ETF 的基金机构持有53.61亿份，占总份额的92.25%，个人投资者持有4.50亿份，占总份额的7.75%,中证A50
513070,易方达中证港股通消费,指数型,87.14%,12.86%,8.24 亿,截至2025-06-30，易方达中证港股通消费主题ETF 的基金机构持有4.22亿份，占总份额的87.14%，个人投资者持有0.62亿份，占总份额的12.86%,消费
159595,大成中证A50ETF,指数型,93.66%,6.34%,24.56 亿,截至2025-06-30，大成中证A50ETF 的基金机构持有33.73亿份，占总份额的93.66%，个人投资者持有2.28亿份，占总份额的6.34%,中证A50
510230,国泰上证180金融E,指数型,77.78%,4.46%,46.83 亿,截至2025-06-30，国泰上证180金融ETF 的基金机构持有27.88亿份，占总份额的77.78%，个人投资者持有1.60亿份，占总份额的4.46%,金融
159591,富国中证A50ETF,指数型,78.03%,21.97%,6.41 亿,截至2025-06-30，富国中证A50ETF 的基金机构持有6.54亿份，占总份额的78.03%，个人投资者持有1.84亿份，占总份额的21.97%,中证A50
159360,天弘中证A500ET,指数型,13.02%,5.86%,18.54 亿,截至2025-06-30，天弘中证A500ETF 的基金机构持有3.73亿份，占总份额的13.02%，个人投资者持有1.68亿份，占总份额的5.86%,中证500
159358,大成中证A500ET,指数型,95.17%,4.83%,16.75 亿,截至2025-06-30，大成中证A500ETF 的基金机构持有22.55亿份，占总份额的95.17%，个人投资者持有1.14亿份，占总份额的4.83%,中证500
159506,富国恒生港股通创新药,指数型,84.24%,15.76%,31.38 亿,截至2025-06-30，富国恒生港股通创新药及医疗保健ETF 的基金机构持有14.86亿份，占总份额的84.24%，个人投资者持有2.78亿份，占总份额的15.76%,医药
561580,华泰柏瑞中证中央企业,指数型,49.67%,35.24%,10.21 亿,截至2025-06-30，华泰柏瑞中证中央企业红利ETF 的基金机构持有2.13亿份，占总份额的49.67%，个人投资者持有1.51亿份，占总份额的35.24%,红利
159362,工银中证A500ET,指数型,91.98%,8.02%,15.04 亿,截至2025-06-30，工银中证A500ETF 的基金机构持有20.47亿份，占总份额的91.98%，个人投资者持有1.79亿份，占总份额的8.02%,中证500
159215,平安中证A500ET,指数型,89.01%,10.99%,18.66 亿,截至2025-06-30，平安中证A500ETF 的基金机构持有17.77亿份，占总份额的89.01%，个人投资者持有2.19亿份，占总份额的10.99%,中证500
159386,永赢中证A500ET,指数型,97.32%,2.68%,2.05 亿,截至2025-06-30，永赢中证A500ETF 的基金机构持有5.21亿份，占总份额的97.32%，个人投资者持有0.14亿份，占总份额的2.68%,中证500
561100,富国中证消费电子主题,指数型,79.23%,20.77%,8.18 亿,截至2025-06-30，富国中证消费电子主题ETF 的基金机构持有4.13亿份，占总份额的79.23%，个人投资者持有1.08亿份，占总份额的20.77%,消费
563360,华泰柏瑞中证A500,指数型,83.38%,8.82%,494.50 亿,截至2025-06-30，华泰柏瑞中证A500ETF 的基金机构持有184.17亿份，占总份额的83.38%，个人投资者持有19.48亿份，占总份额的8.82%,中证500
159592,银华中证A50ETF,指数型,91.96%,8.04%,17.45 亿,截至2025-06-30，银华中证A50ETF 的基金机构持有19.88亿份，占总份额的91.96%，个人投资者持有1.74亿份，占总份额的8.04%,中证A50
512020,鹏华中证A500ET,指数型,91.77%,8.23%,22.25 亿,截至2025-06-30，鹏华中证A500ETF 的基金机构持有32.48亿份，占总份额的91.77%，个人投资者持有2.91亿份，占总份额的8.23%,中证500
159336,融通中证诚通央企红利,指数型,93.28%,6.72%,6.83 亿,截至2025-06-30，融通中证诚通央企红利ETF 的基金机构持有2.29亿份，占总份额的93.28%，个人投资者持有0.17亿份，占总份额的6.72%,红利
159359,华安中证A500ET,指数型,90.34%,9.66%,9.22 亿,截至2025-06-30，华安中证A500ETF 的基金机构持有22.22亿份，占总份额的90.34%，个人投资者持有2.37亿份，占总份额的9.66%,中证500
563860,海富通中证A500E,指数型,97.17%,2.83%,4.05 亿,截至2025-06-30，海富通中证A500ETF 的基金机构持有8.83亿份，占总份额的97.17%，个人投资者持有0.26亿份，占总份额的2.83%,中证500
515800,添富中证800ETF,指数型,96.14%,3.86%,53.70 亿,截至2025-06-30，添富中证800ETF 的基金机构持有45.18亿份，占总份额的96.14%，个人投资者持有1.81亿份，占总份额的3.86%,宽基
159357,博时中证A500ET,指数型,24.81%,9.34%,20.63 亿,截至2025-06-30，博时中证A500ETF 的基金机构持有8.75亿份，占总份额的24.81%，个人投资者持有3.30亿份，占总份额的9.34%,中证500
515010,华夏中证全指证券公司,指数型,30.03%,25.25%,19.62 亿,截至2025-06-30，华夏中证全指证券公司ETF 的基金机构持有3.03亿份，占总份额的30.03%，个人投资者持有2.55亿份，占总份额的25.25%,证券
159356,万家中证A500ET,指数型,53.36%,3.65%,17.59 亿,截至2025-06-30，万家中证A500ETF 的基金机构持有23.93亿份，占总份额的53.36%，个人投资者持有1.64亿份，占总份额的3.65%,中证500
513820,汇添富中证港股通高股,指数型,81.32%,18.68%,45.70 亿,截至2025-06-30，汇添富中证港股通高股息投资ETF 的基金机构持有20.57亿份，占总份额的81.32%，个人投资者持有4.73亿份，占总份额的18.68%,高股息
516310,易方达中证银行ETF,指数型,92.48%,7.52%,26.30 亿,截至2025-06-30，易方达中证银行ETF 的基金机构持有13.02亿份，占总份额的92.48%，个人投资者持有1.06亿份，占总份额的7.52%,银行
516350,易方达中证芯片产业E,指数型,56.02%,43.98%,13.04 亿,截至2025-06-30，易方达中证芯片产业ETF 的基金机构持有6.77亿份，占总份额的56.02%，个人投资者持有5.31亿份，占总份额的43.98%,芯片
561230,工银瑞信中证A50E,指数型,93.48%,6.52%,8.91 亿,截至2025-06-30，工银瑞信中证A50ETF 的基金机构持有13.07亿份，占总份额的93.48%，个人投资者持有0.91亿份，占总份额的6.52%,中证A50
563900,摩根沪深300自由现,指数型,80.06%,19.94%,4.54 亿,截至2025-06-30，摩根沪深300自由现金流ETF 的基金机构持有1.06亿份，占总份额的80.06%，个人投资者持有0.27亿份，占总份额的19.94%,自由现金流
159352,南方中证A500ET,指数型,70.74%,6.95%,480.14 亿,截至2025-06-30，南方中证A500ETF 的基金机构持有123.60亿份，占总份额的70.74%，个人投资者持有12.15亿份，占总份额的6.95%,中证500
563220,富国中证A500ET,指数型,94.20%,5.80%,142.51 亿,截至2025-06-30，富国中证A500ETF 的基金机构持有130.89亿份，占总份额的94.20%，个人投资者持有8.06亿份，占总份额的5.80%,中证500
562970,易方达中证光伏产业E,指数型,53.66%,46.34%,6.08 亿,截至2025-06-30，易方达中证光伏产业ETF 的基金机构持有1.01亿份，占总份额的53.66%，个人投资者持有0.87亿份，占总份额的46.34%,新能源
563880,汇添富中证A500E,指数型,92.29%,7.71%,32.74 亿,截至2025-06-30，汇添富中证A500ETF 的基金机构持有53.23亿份，占总份额的92.29%，个人投资者持有4.45亿份，占总份额的7.71%,中证500
159673,鹏华沪深300ETF,指数型,97.47%,2.53%,23.43 亿,截至2025-06-30，鹏华沪深300ETF 的基金机构持有26.18亿份，占总份额的97.47%，个人投资者持有0.68亿份，占总份额的2.53%,沪深300
