基金代码,基金简称,类型,机构持有比例,个人持有比例,资产规模,原始摘要,小类
511150,科创债ETF永赢,指数型,99.83%,0.17%,37.76 亿,截至2025-09-17，科创债ETF永赢 的基金机构持有29.48亿份，占总份额的99.83%，个人投资者持有0.05亿份，占总份额的0.17%,债券
159400,景顺长城深证AAA科,指数型,96.13%,3.87%,50.03 亿,截至2025-07-10，景顺长城深证AAA科技创新公司债ETF 的基金机构持有22.11亿份，占总份额的96.13%，个人投资者持有0.89亿份，占总份额的3.87%,债券
551580,泰康中证AAA科技创,指数型,99.86%,0.14%,126.05 亿,截至2025-09-17，泰康中证AAA科技创新公司债ETF 的基金机构持有29.64亿份，占总份额的99.86%，个人投资者持有0.04亿份，占总份额的0.14%,债券
159116,科创债ETF工银,指数型,98.43%,1.57%,110.78 亿,截至2025-09-17，科创债ETF工银 的基金机构持有29.26亿份，占总份额的98.43%，个人投资者持有0.47亿份，占总份额的1.57%,债券
159111,天弘中证AAA科技创,指数型,99.71%,0.29%,108.22 亿,截至2025-09-17，天弘中证AAA科技创新公司债ETF 的基金机构持有29.81亿份，占总份额的99.71%，个人投资者持有0.09亿份，占总份额的0.29%,债券
551500,易方达中证AAA科技,指数型,97.17%,2.83%,130.50 亿,截至2025-07-10，易方达中证AAA科技创新公司债ETF 的基金机构持有27.42亿份，占总份额的97.17%，个人投资者持有0.80亿份，占总份额的2.83%,债券
551800,国泰中证AAA科技创,指数型,99.63%,0.37%,149.08 亿,截至2025-09-17，国泰中证AAA科技创新公司债ETF 的基金机构持有29.75亿份，占总份额的99.63%，个人投资者持有0.11亿份，占总份额的0.37%,债券
551300,摩根上证AAA科技创,指数型,70.18%,29.82%,67.42 亿,截至2025-09-17，摩根上证AAA科技创新公司债ETF 的基金机构持有20.91亿份，占总份额的70.18%，个人投资者持有8.89亿份，占总份额的29.82%,债券
159112,科创债ETF银华,指数型,99.79%,0.21%,291.66 亿,截至2025-09-17，科创债ETF银华 的基金机构持有29.93亿份，占总份额的99.79%，个人投资者持有0.06亿份，占总份额的0.21%,债券
159113,大成中证AAA科技创,指数型,98.20%,1.80%,123.94 亿,截至2025-09-17，大成中证AAA科技创新公司债ETF 的基金机构持有28.61亿份，占总份额的98.20%，个人投资者持有0.52亿份，占总份额的1.80%,债券
159115,华安中证AAA科技创,指数型,99.79%,0.21%,51.03 亿,截至2025-09-17，华安中证AAA科技创新公司债ETF 的基金机构持有29.50亿份，占总份额的99.79%，个人投资者持有0.06亿份，占总份额的0.21%,债券
159200,富国中证AAA科技创,指数型,59.76%,40.24%,246.59 亿,截至2025-07-10，富国中证AAA科技创新公司债ETF 的基金机构持有17.93亿份，占总份额的59.76%，个人投资者持有12.07亿份，占总份额的40.24%,债券
551060,中银上证AAA科创债,指数型,99.83%,0.17%,100.64 亿,截至2025-09-17，中银上证AAA科创债ETF 的基金机构持有0.30亿份，占总份额的99.83%，个人投资者持有0.00亿份，占总份额的0.17%,债券
551560,兴业中证AAA科技创,指数型,99.71%,0.29%,174.20 亿,截至2025-09-17，兴业中证AAA科技创新公司债ETF 的基金机构持有29.91亿份，占总份额的99.71%，个人投资者持有0.09亿份，占总份额的0.29%,债券
551000,博时上证AAA科创债,指数型,90.66%,9.34%,107.48 亿,截至2025-07-10，博时上证AAA科创债ETF 的基金机构持有0.27亿份，占总份额的90.66%，个人投资者持有0.03亿份，占总份额的9.34%,债券
511120,广发上证AAA科技创,指数型,99.06%,0.94%,110.56 亿,截至2025-07-10，广发上证AAA科技创新公司债ETF 的基金机构持有0.29亿份，占总份额的99.06%，个人投资者持有0.00亿份，占总份额的0.94%,债券
551550,华夏中证AAA科技创,指数型,98.62%,1.38%,151.43 亿,截至2025-07-10，华夏中证AAA科技创新公司债ETF 的基金机构持有29.20亿份，占总份额的98.62%，个人投资者持有0.41亿份，占总份额的1.38%,债券
551900,招商中证AAA科技创,指数型,93.27%,6.73%,240.38 亿,截至2025-07-10，招商中证AAA科技创新公司债ETF 的基金机构持有0.28亿份，占总份额的93.27%，个人投资者持有0.02亿份，占总份额的6.73%,债券
159600,嘉实中证AAA科技创,指数型,97.71%,2.29%,436.73 亿,截至2025-07-10，嘉实中证AAA科技创新公司债ETF 的基金机构持有28.91亿份，占总份额的97.71%，个人投资者持有0.68亿份，占总份额的2.29%,债券
159700,南方中证AAA科技创,指数型,99.61%,0.39%,115.02 亿,截至2025-07-10，南方中证AAA科技创新公司债ETF 的基金机构持有29.81亿份，占总份额的99.61%，个人投资者持有0.12亿份，占总份额的0.39%,债券
511380,博时可转债ETF,指数型,98.43%,1.57%,518.82 亿,截至2025-06-30，博时可转债ETF 的基金机构持有29.30亿份，占总份额的98.43%，个人投资者持有0.47亿份，占总份额的1.57%,债券
511180,海富通上证投资级可转,指数型,98.86%,1.14%,91.07 亿,截至2025-06-30，海富通上证投资级可转债ETF 的基金机构持有5.20亿份，占总份额的98.86%，个人投资者持有0.06亿份，占总份额的1.14%,债券
518680,富国上海金ETF,指数型,86.28%,13.72%,58.93 亿,截至2025-06-30，富国上海金ETF 的基金机构持有3.11亿份，占总份额的86.28%，个人投资者持有0.49亿份，占总份额的13.72%,黄金
159934,易方达黄金ETF,指数型,83.19%,16.81%,355.07 亿,截至2025-06-30，易方达黄金ETF 的基金机构持有29.60亿份，占总份额的83.19%，个人投资者持有5.98亿份，占总份额的16.81%,黄金
159834,金ETF,指数型,10.18%,6.63%,13.49 亿,截至2025-06-30，金ETF 的基金机构持有0.13亿份，占总份额的10.18%，个人投资者持有0.08亿份，占总份额的6.63%,黄金
518600,广发上海金ETF,指数型,87.57%,12.43%,49.52 亿,截至2025-06-30，广发上海金ETF 的基金机构持有2.32亿份，占总份额的87.57%，个人投资者持有0.33亿份，占总份额的12.43%,黄金
159831,嘉实上海金ETF,指数型,93.76%,6.24%,14.68 亿,截至2025-06-30，嘉实上海金ETF 的基金机构持有0.86亿份，占总份额的93.76%，个人投资者持有0.06亿份，占总份额的6.24%,黄金
518860,建信上海金ETF,指数型,96.55%,3.45%,35.44 亿,截至2025-06-30，建信上海金ETF 的基金机构持有2.72亿份，占总份额的96.55%，个人投资者持有0.10亿份，占总份额的3.45%,黄金
518890,中银上海金ETF,指数型,98.57%,1.43%,28.81 亿,截至2025-06-30，中银上海金ETF 的基金机构持有2.66亿份，占总份额的98.57%，个人投资者持有0.04亿份，占总份额的1.43%,黄金
518660,工银瑞信黄金ETF,指数型,79.19%,20.81%,66.06 亿,截至2025-06-30，工银瑞信黄金ETF 的基金机构持有3.79亿份，占总份额的79.19%，个人投资者持有1.00亿份，占总份额的20.81%,黄金
518880,华安黄金ETF,指数型,64.70%,35.30%,939.85 亿,截至2025-06-30，华安黄金ETF 的基金机构持有52.82亿份，占总份额的64.70%，个人投资者持有28.82亿份，占总份额的35.30%,黄金
159937,博时黄金ETF,指数型,9.05%,5.32%,403.17 亿,截至2025-06-30，博时黄金ETF 的基金机构持有3.45亿份，占总份额的9.05%，个人投资者持有2.03亿份，占总份额的5.32%,黄金
159812,前海开源黄金ETF,指数型,93.71%,6.29%,13.64 亿,截至2025-06-30，前海开源黄金ETF 的基金机构持有1.44亿份，占总份额的93.71%，个人投资者持有0.10亿份，占总份额的6.29%,黄金
511220,海富通上证城投债ET,指数型,97.27%,2.73%,285.10 亿,截至2025-06-30，海富通上证城投债ETF 的基金机构持有19.93亿份，占总份额的97.27%，个人投资者持有0.56亿份，占总份额的2.73%,债券
510530,工银中证500ETF,指数型,96.86%,3.14%,3.77 亿,截至2025-06-30，工银中证500ETF 的基金机构持有0.60亿份，占总份额的96.86%，个人投资者持有0.02亿份，占总份额的3.14%,中证500
510590,平安中证500ETF,指数型,95.61%,4.39%,11.04 亿,截至2025-06-30，平安中证500ETF 的基金机构持有0.85亿份，占总份额的95.61%，个人投资者持有0.04亿份，占总份额的4.39%,中证500
510500,南方中证500ETF,指数型,83.21%,9.68%,1446.90 亿,截至2025-06-30，南方中证500ETF 的基金机构持有158.19亿份，占总份额的83.21%，个人投资者持有18.41亿份，占总份额的9.68%,中证500
515660,国联安沪深300ET,指数型,99.43%,0.57%,35.48 亿,截至2025-06-30，国联安沪深300ETF 的基金机构持有8.85亿份，占总份额的99.43%，个人投资者持有0.05亿份，占总份额的0.57%,沪深300
515380,泰康沪深300ETF,指数型,95.96%,4.04%,36.38 亿,截至2025-06-30，泰康沪深300ETF 的基金机构持有7.37亿份，占总份额的95.96%，个人投资者持有0.31亿份，占总份额的4.04%,沪深300
159916,建信深证基本面60E,指数型,96.79%,3.21%,2.68 亿,截至2025-06-30，建信深证基本面60ETF 的基金机构持有0.73亿份，占总份额的96.79%，个人投资者持有0.02亿份，占总份额的3.21%,策略
510390,平安沪深300ETF,指数型,91.70%,8.30%,4.97 亿,截至2025-06-30，平安沪深300ETF 的基金机构持有1.18亿份，占总份额的91.70%，个人投资者持有0.11亿份，占总份额的8.30%,沪深300
159300,富国沪深300ETF,指数型,70.90%,29.10%,12.07 亿,截至2025-06-30，富国沪深300ETF 的基金机构持有3.06亿份，占总份额的70.90%，个人投资者持有1.25亿份，占总份额的29.10%,沪深300
159919,嘉实沪深300ETF,指数型,96.53%,3.47%,1971.24 亿,截至2025-06-30，嘉实沪深300ETF 的基金机构持有398.08亿份，占总份额的96.53%，个人投资者持有14.33亿份，占总份额的3.47%,沪深300
510350,工银瑞信沪深300E,指数型,96.92%,3.08%,40.75 亿,截至2025-06-30，工银瑞信沪深300ETF 的基金机构持有8.61亿份，占总份额的96.92%，个人投资者持有0.27亿份，占总份额的3.08%,沪深300
510330,华夏沪深300ETF,指数型,93.09%,1.08%,2286.56 亿,截至2025-06-30，华夏沪深300ETF 的基金机构持有446.50亿份，占总份额的93.09%，个人投资者持有5.17亿份，占总份额的1.08%,沪深300
159393,万家沪深300ETF,指数型,62.70%,37.30%,3.73 亿,截至2025-06-30，万家沪深300ETF 的基金机构持有0.29亿份，占总份额的62.70%，个人投资者持有0.17亿份，占总份额的37.30%,沪深300
159925,南方沪深300ETF,指数型,19.64%,14.08%,27.42 亿,截至2025-06-30，南方沪深300ETF 的基金机构持有1.76亿份，占总份额的19.64%，个人投资者持有1.26亿份，占总份额的14.08%,沪深300
510300,华泰柏瑞沪深300E,指数型,87.10%,12.20%,4222.58 亿,截至2025-06-30，华泰柏瑞沪深300ETF 的基金机构持有819.14亿份，占总份额的87.10%，个人投资者持有114.76亿份，占总份额的12.20%,沪深300
512500,华夏中证500ETF,指数型,80.57%,5.64%,180.85 亿,截至2025-06-30，华夏中证500ETF 的基金机构持有32.37亿份，占总份额的80.57%，个人投资者持有2.27亿份，占总份额的5.64%,中证500
510310,易方达沪深300发起,指数型,96.79%,3.21%,3002.20 亿,截至2025-06-30，易方达沪深300发起式ETF 的基金机构持有662.29亿份，占总份额的96.79%，个人投资者持有21.96亿份，占总份额的3.21%,沪深300
510580,易方达中证500ET,指数型,82.70%,17.30%,29.09 亿,截至2025-06-30，易方达中证500ETF 的基金机构持有7.89亿份，占总份额的82.70%，个人投资者持有1.65亿份，占总份额的17.30%,中证500
510180,华安上证180ETF,指数型,96.57%,3.43%,232.67 亿,截至2025-06-30，华安上证180ETF 的基金机构持有55.59亿份，占总份额的96.57%，个人投资者持有1.97亿份，占总份额的3.43%,上证180
510850,工银瑞信上证50ET,指数型,85.39%,14.61%,3.75 亿,截至2025-06-30，工银瑞信上证50ETF 的基金机构持有0.60亿份，占总份额的85.39%，个人投资者持有0.10亿份，占总份额的14.61%,上证50ETF
159633,易方达中证1000E,指数型,60.88%,39.12%,15.43 亿,截至2025-06-30，易方达中证1000ETF 的基金机构持有4.18亿份，占总份额的60.88%，个人投资者持有2.69亿份，占总份额的39.12%,中证1000
159901,易方达深证100ET,指数型,67.40%,32.60%,70.61 亿,截至2025-06-30，易方达深证100ETF 的基金机构持有15.82亿份，占总份额的67.40%，个人投资者持有7.65亿份，占总份额的32.60%,深证100
159845,华夏中证1000ET,指数型,97.69%,1.84%,499.08 亿,截至2025-06-30，华夏中证1000ETF 的基金机构持有143.16亿份，占总份额的97.69%，个人投资者持有2.69亿份，占总份额的1.84%,中证1000
560010,广发中证1000ET,指数型,97.69%,2.31%,358.72 亿,截至2025-06-30，广发中证1000ETF 的基金机构持有115.24亿份，占总份额的97.69%，个人投资者持有2.72亿份，占总份额的2.31%,中证1000
159629,富国中证1000ET,指数型,94.54%,5.46%,132.77 亿,截至2025-06-30，富国中证1000ETF 的基金机构持有43.39亿份，占总份额的94.54%，个人投资者持有2.51亿份，占总份额的5.46%,中证1000
159922,嘉实中证500ETF,指数型,91.70%,8.30%,156.15 亿,截至2025-06-30，嘉实中证500ETF 的基金机构持有43.75亿份，占总份额的91.70%，个人投资者持有3.96亿份，占总份额的8.30%,中证500
